2025-05-26T23:25:45.440+05:30 INFO  [book-app] [background-preinit] o.h.validator.internal.util.Version:21 : HV000001: Hibernate Validator 6.2.5.Final
2025-05-26T23:25:45.469+05:30 INFO  [book-app] [main] com.testing.books.BooksApplication:55 : Starting BooksApplication using Java 1.8.0_271 on DESKTOP-2I4L826 with PID 12488 (C:\Users\sanja\sts-workplace\springboot-unit-testing-docker\target\classes started by sanja in C:\Users\sanja\sts-workplace\springboot-unit-testing-docker)
2025-05-26T23:25:45.472+05:30 INFO  [book-app] [main] com.testing.books.BooksApplication:634 : No active profile set, falling back to 1 default profile: "default"
2025-05-26T23:25:47.582+05:30 INFO  [book-app] [main] o.s.d.r.c.RepositoryConfigurationDelegate:132 : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-05-26T23:25:47.687+05:30 INFO  [book-app] [main] o.s.d.r.c.RepositoryConfigurationDelegate:201 : Finished Spring Data repository scanning in 82 ms. Found 1 JPA repository interfaces.
2025-05-26T23:25:49.234+05:30 INFO  [book-app] [main] o.s.b.w.embedded.tomcat.TomcatWebServer:108 : Tomcat initialized with port(s): 8081 (http)
2025-05-26T23:25:49.270+05:30 INFO  [book-app] [main] o.apache.coyote.http11.Http11NioProtocol:173 : Initializing ProtocolHandler ["http-nio-8081"]
2025-05-26T23:25:49.272+05:30 INFO  [book-app] [main] org.apache.catalina.core.StandardService:173 : Starting service [Tomcat]
2025-05-26T23:25:49.272+05:30 INFO  [book-app] [main] org.apache.catalina.core.StandardEngine:173 : Starting Servlet engine: [Apache Tomcat/9.0.65]
2025-05-26T23:25:49.747+05:30 INFO  [book-app] [main] o.a.c.c.C.[Tomcat].[localhost].[/]:173 : Initializing Spring embedded WebApplicationContext
2025-05-26T23:25:49.747+05:30 INFO  [book-app] [main] o.s.b.w.s.c.ServletWebServerApplicationContext:292 : Root WebApplicationContext: initialization completed in 4162 ms
2025-05-26T23:25:50.253+05:30 INFO  [book-app] [main] o.hibernate.jpa.internal.util.LogHelper:31 : HHH000204: Processing PersistenceUnitInfo [name: default]
2025-05-26T23:25:50.393+05:30 INFO  [book-app] [main] org.hibernate.Version:44 : HHH000412: Hibernate ORM core version 5.6.11.Final
2025-05-26T23:25:50.765+05:30 INFO  [book-app] [main] org.hibernate.annotations.common.Version:56 : HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2025-05-26T23:25:51.106+05:30 INFO  [book-app] [main] com.zaxxer.hikari.HikariDataSource:110 : HikariPool-1 - Starting...
2025-05-26T23:25:52.213+05:30 INFO  [book-app] [main] com.zaxxer.hikari.HikariDataSource:123 : HikariPool-1 - Start completed.
2025-05-26T23:25:52.258+05:30 INFO  [book-app] [main] org.hibernate.dialect.Dialect:175 : HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
2025-05-26T23:25:53.770+05:30 WARN  [book-app] [main] o.h.engine.jdbc.spi.SqlExceptionHelper:230 : SQL Warning Code: 0, SQLState: 00000
2025-05-26T23:25:53.770+05:30 WARN  [book-app] [main] o.h.engine.jdbc.spi.SqlExceptionHelper:231 : table "books" does not exist, skipping
2025-05-26T23:25:53.771+05:30 WARN  [book-app] [main] o.h.engine.jdbc.spi.SqlExceptionHelper:230 : SQL Warning Code: 0, SQLState: 00000
2025-05-26T23:25:53.771+05:30 WARN  [book-app] [main] o.h.engine.jdbc.spi.SqlExceptionHelper:231 : sequence "book_seq" does not exist, skipping
2025-05-26T23:25:53.802+05:30 INFO  [book-app] [main] o.h.e.t.j.p.i.JtaPlatformInitiator:52 : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2025-05-26T23:25:53.820+05:30 INFO  [book-app] [main] o.s.o.j.LocalContainerEntityManagerFactoryBean:437 : Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-05-26T23:25:54.901+05:30 WARN  [book-app] [main] o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration:219 : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-05-26T23:25:55.891+05:30 INFO  [book-app] [main] o.s.b.a.e.web.EndpointLinksResolver:58 : Exposing 2 endpoint(s) beneath base path '/actuator'
2025-05-26T23:25:55.950+05:30 INFO  [book-app] [main] o.apache.coyote.http11.Http11NioProtocol:173 : Starting ProtocolHandler ["http-nio-8081"]
2025-05-26T23:25:55.990+05:30 INFO  [book-app] [main] o.s.b.w.embedded.tomcat.TomcatWebServer:220 : Tomcat started on port(s): 8081 (http) with context path ''
2025-05-26T23:25:56.014+05:30 INFO  [book-app] [main] com.testing.books.BooksApplication:61 : Started BooksApplication in 17.667 seconds (JVM running for 18.642)
2025-05-26T23:26:11.816+05:30 INFO  [book-app] [http-nio-8081-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]:173 : Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-05-26T23:26:11.817+05:30 INFO  [book-app] [http-nio-8081-exec-1] o.s.web.servlet.DispatcherServlet:525 : Initializing Servlet 'dispatcherServlet'
2025-05-26T23:26:11.820+05:30 INFO  [book-app] [http-nio-8081-exec-1] o.s.web.servlet.DispatcherServlet:547 : Completed initialization in 3 ms
2025-05-26T23:30:08.005+05:30 INFO  [book-app] [SpringApplicationShutdownHook] o.s.o.j.LocalContainerEntityManagerFactoryBean:651 : Closing JPA EntityManagerFactory for persistence unit 'default'
2025-05-26T23:30:08.008+05:30 INFO  [book-app] [SpringApplicationShutdownHook] o.h.t.s.i.SchemaDropperImpl$DelayedDropActionImpl:538 : HHH000477: Starting delayed evictData of schema as part of SessionFactory shut-down'
2025-05-26T23:30:08.049+05:30 INFO  [book-app] [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource:350 : HikariPool-1 - Shutdown initiated...
2025-05-26T23:30:08.088+05:30 INFO  [book-app] [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource:352 : HikariPool-1 - Shutdown completed.
2025-05-29T21:07:40.456+05:30 INFO  [book-app] [background-preinit] o.h.validator.internal.util.Version:21 : HV000001: Hibernate Validator 6.2.5.Final
2025-05-29T21:07:40.466+05:30 INFO  [book-app] [main] com.testing.books.BooksApplication:55 : Starting BooksApplication using Java 1.8.0_271 on DESKTOP-2I4L826 with PID 1344 (C:\Users\sanja\sts-workplace\springboot-unit-testing-docker\target\classes started by sanja in C:\Users\sanja\sts-workplace\springboot-unit-testing-docker)
2025-05-29T21:07:40.468+05:30 INFO  [book-app] [main] com.testing.books.BooksApplication:640 : The following 1 profile is active: "local"
2025-05-29T21:07:42.492+05:30 INFO  [book-app] [main] o.s.d.r.c.RepositoryConfigurationDelegate:132 : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-05-29T21:07:42.594+05:30 INFO  [book-app] [main] o.s.d.r.c.RepositoryConfigurationDelegate:201 : Finished Spring Data repository scanning in 81 ms. Found 1 JPA repository interfaces.
2025-05-29T21:07:44.089+05:30 INFO  [book-app] [main] o.s.b.w.embedded.tomcat.TomcatWebServer:108 : Tomcat initialized with port(s): 8081 (http)
2025-05-29T21:07:44.108+05:30 INFO  [book-app] [main] o.apache.coyote.http11.Http11NioProtocol:173 : Initializing ProtocolHandler ["http-nio-8081"]
2025-05-29T21:07:44.109+05:30 INFO  [book-app] [main] org.apache.catalina.core.StandardService:173 : Starting service [Tomcat]
2025-05-29T21:07:44.109+05:30 INFO  [book-app] [main] org.apache.catalina.core.StandardEngine:173 : Starting Servlet engine: [Apache Tomcat/9.0.65]
2025-05-29T21:07:44.467+05:30 INFO  [book-app] [main] o.a.c.c.C.[Tomcat].[localhost].[/]:173 : Initializing Spring embedded WebApplicationContext
2025-05-29T21:07:44.468+05:30 INFO  [book-app] [main] o.s.b.w.s.c.ServletWebServerApplicationContext:292 : Root WebApplicationContext: initialization completed in 3903 ms
2025-05-29T21:07:44.955+05:30 INFO  [book-app] [main] o.hibernate.jpa.internal.util.LogHelper:31 : HHH000204: Processing PersistenceUnitInfo [name: default]
2025-05-29T21:07:45.077+05:30 INFO  [book-app] [main] org.hibernate.Version:44 : HHH000412: Hibernate ORM core version 5.6.11.Final
2025-05-29T21:07:45.431+05:30 INFO  [book-app] [main] org.hibernate.annotations.common.Version:56 : HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2025-05-29T21:07:45.662+05:30 INFO  [book-app] [main] com.zaxxer.hikari.HikariDataSource:110 : HikariPool-1 - Starting...
2025-05-29T21:07:46.341+05:30 INFO  [book-app] [main] com.zaxxer.hikari.HikariDataSource:123 : HikariPool-1 - Start completed.
2025-05-29T21:07:46.374+05:30 INFO  [book-app] [main] org.hibernate.dialect.Dialect:175 : HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
2025-05-29T21:07:47.590+05:30 WARN  [book-app] [main] o.h.engine.jdbc.spi.SqlExceptionHelper:230 : SQL Warning Code: 0, SQLState: 00000
2025-05-29T21:07:47.590+05:30 WARN  [book-app] [main] o.h.engine.jdbc.spi.SqlExceptionHelper:231 : table "books" does not exist, skipping
2025-05-29T21:07:47.591+05:30 WARN  [book-app] [main] o.h.engine.jdbc.spi.SqlExceptionHelper:230 : SQL Warning Code: 0, SQLState: 00000
2025-05-29T21:07:47.591+05:30 WARN  [book-app] [main] o.h.engine.jdbc.spi.SqlExceptionHelper:231 : sequence "book_seq" does not exist, skipping
2025-05-29T21:07:47.643+05:30 INFO  [book-app] [main] o.h.e.t.j.p.i.JtaPlatformInitiator:52 : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2025-05-29T21:07:47.655+05:30 INFO  [book-app] [main] o.s.o.j.LocalContainerEntityManagerFactoryBean:437 : Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-05-29T21:07:48.735+05:30 WARN  [book-app] [main] o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration:219 : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-05-29T21:07:49.551+05:30 INFO  [book-app] [main] o.s.b.a.e.web.EndpointLinksResolver:58 : Exposing 2 endpoint(s) beneath base path '/actuator'
2025-05-29T21:07:49.599+05:30 INFO  [book-app] [main] o.apache.coyote.http11.Http11NioProtocol:173 : Starting ProtocolHandler ["http-nio-8081"]
2025-05-29T21:07:49.652+05:30 INFO  [book-app] [main] o.s.b.w.embedded.tomcat.TomcatWebServer:220 : Tomcat started on port(s): 8081 (http) with context path ''
2025-05-29T21:07:49.673+05:30 INFO  [book-app] [main] com.testing.books.BooksApplication:61 : Started BooksApplication in 10.315 seconds (JVM running for 11.897)
